CNES - Recursos Físicos - Ambulatório - Leitos de Repouso e Observação - Brasil
Leitos Repouso/Observação Femin por Município e Ano/mês compet.
Período:Dez/2005, Dez/2006, Dez/2007, Dez/2008, Dez/2009, Dez/2010, Dez/2011, Dez/2012, Dez/2013, Dez/2014, Dez/2015, Dez/2016, Dez/2017, Dez/2018, Dez/2019, Dez/2020
"Município";"2005/Dez";"2006/Dez";"2007/Dez";"2008/Dez";"2009/Dez";"2010/Dez";"2011/Dez";"2012/Dez";"2013/Dez";"2014/Dez";"2015/Dez";"2016/Dez";"2017/Dez";"2018/Dez";"2019/Dez";"2020/Dez"
"110001 Alta Floresta D'Oeste";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"110037 Alto Alegre dos Parecis";-;-;-;-;-;4;4;4;4;4;4;4;4;4;4;4
"110040 Alto Paraíso";-;5;5;5;5;5;5;5;5;1;1;1;1;1;1;1
"110034 Alvorada D'Oeste";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"110002 Ariquemes";3;3;3;2;2;2;2;2;2;2;2;2;-;-;-;-
"110045 Buritis";-;-;-;-;2;2;2;2;2;2;2;2;2;2;2;2
"110003 Cabixi";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"110060 Cacaulândia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"110004 Cacoal";-;-;-;-;-;-;18;22;22;4;4;4;4;4;4;4
"110070 Campo Novo de Rondônia";-;-;6;6;6;6;6;6;6;6;6;6;6;6;6;6
"110080 Candeias do Jamari";-;-;-;-;-;5;5;5;5;5;5;5;5;5;5;5
"110090 Castanheiras";-;-;-;-;-;-;-;-;1;1;1;1;1;1;1;1
"110005 Cerejeiras";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"110092 Chupinguaia";-;-;-;-;-;3;3;3;3;3;3;3;3;3;3;3
"110006 Colorado do Oeste";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"110007 Corumbiara";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"110008 Costa Marques";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"110094 Cujubim";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"110009 Espigão D'Oeste";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"110100 Governador Jorge Teixeira";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"110010 Guajará-Mirim";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"110110 Itapuã do Oeste";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"110011 Jaru";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"110012 Ji-Paraná";3;3;3;3;-;-;-;-;-;-;-;-;-;-;-;-
"110013 Machadinho D'Oeste";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-
"110120 Ministro Andreazza";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
