CNES - Recursos Físicos - Ambulatório - Leitos de Repouso e Observação - Brasil
Leitos Repouso/Observação Indif por Município e Ano/mês compet.
Período:Dez/2005, Dez/2006, Dez/2007, Dez/2008, Dez/2009, Dez/2010, Dez/2011, Dez/2012, Dez/2013, Dez/2014, Dez/2015, Dez/2016, Dez/2017, Dez/2018, Dez/2019, Dez/2020
"Município";"2005/Dez";"2006/Dez";"2007/Dez";"2008/Dez";"2009/Dez";"2010/Dez";"2011/Dez";"2012/Dez";"2013/Dez";"2014/Dez";"2015/Dez";"2016/Dez";"2017/Dez";"2018/Dez";"2019/Dez";"2020/Dez"
"110001 Alta Floresta D'Oeste";-;-;-;2;2;2;2;2;2;2;2;2;-;-;-;-
"110037 Alto Alegre dos Parecis";-;-;2;-;1;1;1;1;1;1;1;1;1;1;-;-
"110040 Alto Paraíso";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"110034 Alvorada D'Oeste";9;9;9;9;9;9;9;9;9;9;7;7;7;7;7;7
"110002 Ariquemes";4;5;5;8;8;8;7;7;9;11;13;12;11;13;12;12
"110045 Buritis";-;1;1;1;1;1;1;1;1;1;6;6;6;6;5;4
"110003 Cabixi";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"110060 Cacaulândia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"110004 Cacoal";12;12;12;12;12;14;14;33;33;36;45;45;44;45;43;43
"110070 Campo Novo de Rondônia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"110080 Candeias do Jamari";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"110090 Castanheiras";2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"110005 Cerejeiras";3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
"110092 Chupinguaia";-;-;-;-;-;-;-;-;2;2;2;2;2;2;2;2
"110006 Colorado do Oeste";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"110007 Corumbiara";6;6;3;3;3;3;3;3;3;-;-;-;-;-;-;2
"110008 Costa Marques";1;1;1;1;1;1;1;1;1;1;-;2;2;2;2;2
"110094 Cujubim";-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-
"110009 Espigão D'Oeste";3;3;3;7;7;7;7;7;7;10;10;10;10;10;10;10
"110100 Governador Jorge Teixeira";-;-;-;-;-;4;4;4;4;4;2;2;2;2;2;2
"110010 Guajará-Mirim";8;8;8;-;-;-;-;-;-;-;-;-;-;-;-;-
"110110 Itapuã do Oeste";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"110011 Jaru";18;20;22;22;22;19;18;18;18;18;18;18;18;29;29;35
"110012 Ji-Paraná";51;51;51;52;35;35;35;35;40;40;40;40;40;37;25;31
"110013 Machadinho D'Oeste";4;6;6;6;4;4;4;6;4;4;4;4;4;4;4;4
"110120 Ministro Andreazza";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"110130 Mirante da Serra";3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
