 Produção Ambulatorial do SUS - Brasil - por local de residência
Qtd.aprovada por Município e Ano atendimento
Subgrupo proced.: 0301 Consultas / Atendimentos / Acompanhamentos
Período:Dez/2008, Dez/2009, Dez/2010, Dez/2011, Dez/2012, Dez/2013, Dez/2014, Dez/2015, Dez/2016, Dez/2017, Dez/2018, Dez/2019, Dez/2020
"Município";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"Total"
"110001 Alta Floresta D'Oeste";447;1324;1150;1275;871;64;64;30;1520;133;330;223;192;7623
"110037 Alto Alegre dos Parecis";1;3;23;21;37;3;3;24;14;12;45;16;42;244
"110040 Alto Paraíso";2;95;64;54;31;2;26;15;18;11;46;83;190;637
"110034 Alvorada D'Oeste";4;195;-;2;40;2;1;1;3;17;31;13;50;359
"110002 Ariquemes";60;997;1410;1131;78;86;697;211;183;137;836;1310;5016;12152
"110045 Buritis";-;48;24;26;29;11;54;10;45;218;234;5254;3600;9553
"110003 Cabixi";-;-;1;-;-;1;-;2;2;9;7;26;53;101
"110060 Cacaulândia";-;72;40;24;4;3;9;9;3;8;21;13;46;252
"110004 Cacoal";2386;2357;144;27;2350;66;510;456;814;1027;4703;5631;5231;25702
"110070 Campo Novo de Rondônia";-;22;22;12;11;-;2;1;2;35;16;262;891;1276
"110080 Candeias do Jamari";48;332;240;11;121;3;5;27;71;163;146;184;616;1967
"110090 Castanheiras";-;13;-;2;12;-;-;-;3;1;486;436;6;959
"110005 Cerejeiras";-;92;5;168;96;3;18;71;89;92;70;62;279;1045
"110092 Chupinguaia";-;1;1;-;-;1;-;-;6;5;8;8;45;75
"110006 Colorado do Oeste";2;-;1;482;8;3;6;245;5;53;466;929;477;2677
"110007 Corumbiara";4;-;1;-;2;5;4;1;11;8;5;8;50;99
"110008 Costa Marques";15;3;-;2;38;-;5;1;15;241;380;18;31;749
"110094 Cujubim";-;23;43;4;1;7;30;3;15;22;54;37;138;377
"110009 Espigão D'Oeste";11;9;5;2;12;49;2;86;160;143;337;606;440;1862
"110100 Governador Jorge Teixeira";-;-;3;3;6;3;44;2;11;17;11;17;27;144
"110010 Guajará-Mirim";45;7;27;4;18;3;26;10;86;237;254;329;377;1423
"110110 Itapuã do Oeste";-;4;6;27;30;12;4;5;16;31;27;45;548;755
"110011 Jaru";12;57;35;1509;10;37;27;67;151;126;520;582;1199;4332
"110012 Ji-Paraná";40;1776;600;59;48;35;156;54;235;483;423;550;1967;6426
"110013 Machadinho D'Oeste";267;39;1221;733;87;46;22;3;73;22;83;220;471;3287
"110120 Ministro Andreazza";-;-;3;2;6;22;5;1;8;11;22;24;38;142
"110130 Mirante da Serra";1;76;4;1;4;2;2;-;16;8;20;49;55;238
"110140 Monte Negro";1;24;14;18;1;-;25;2;545;210;101;162;340;1443
"110014 Nova Brasilândia D'Oeste";3;18;6;32;48;7;6;17;9;14;103;18;58;339
"110033 Nova Mamoré";5;59;7;7;50;6;8;7;19;59;100;469;633;1429
"110143 Nova União";1;3;-;2;-;-;4;11;4;8;4;46;84;167
"110050 Novo Horizonte do Oeste";48;-;-;17;11;-;7;2;1;21;98;16;34;255
"110015 Ouro Preto do Oeste";13;150;9;13;17;40;9;8;1555;65;151;381;301;2712
"110145 Parecis";-;-;-;-;-;-;1;-;14;3;18;3;4;43
"110018 Pimenta Bueno";-;17;15;5;37;6;13;162;788;15;280;119;414;1871
"110146 Pimenteiras do Oeste";-;-;-;-;-;-;1;1;1;-;-;5;11;19
"110020 Porto Velho";2037;4591;4359;2392;5431;2650;2100;1693;2338;5089;8251;15424;11809;68164
"110025 Presidente Médici";1608;1639;1577;2272;2778;167;159;33;12;73;184;103;193;10798
"110147 Primavera de Rondônia";-;2;-;-;-;1;-;-;22;-;10;5;31;71
"110026 Rio Crespo";1;18;18;10;3;3;6;-;3;10;5;17;29;123
"110028 Rolim de Moura";3900;3429;2771;1590;2369;22;56;27;145;256;892;195;754;16406
"110029 Santa Luzia D'Oeste";8;-;-;21;13;29;16;1;5;11;87;33;55;279
"110148 São Felipe D'Oeste";-;-;17;-;4;-;17;-;31;1;80;10;16;176
"110149 São Francisco do Guaporé";-;-;-;4;3;2;2;20;11;4299;7145;29;420;11935
"110032 São Miguel do Guaporé";-;95;-;31;74;3;2;4;5;19;169;29;188;619
"110150 Seringueiras";-;7;1;13;6;3;1;15;10;61;139;39;40;335
"110155 Teixeirópolis";-;6;-;1;-;-;8;1;9;3;1;11;19;59
"110160 Theobroma";-;1;5;4;2;1;3;2;24;9;14;7;95;167
"110170 Urupá";15;29;-;-;2;1;2;2;54;11;29;16;70;231
"110175 Vale do Anari";-;1;-;-;5;5;4;-;25;17;61;62;59;239
"110180 Vale do Paraíso";14;18;8;16;3;-;2;1;22;5;3;31;64;187
"110030 Vilhena";1474;1506;1172;1379;1520;461;24;10;128;296;421;553;808;9752
"110000 Município ignorado - RO";-;-;-;-;55;-;-;-;-;4;2;71;10;142
"120001 Acrelândia";-;4;-;-;-;2;2;26;7;11;51;22;81;206
"120005 Assis Brasil";1;-;-;-;-;19;-;3;1;1;2;8;10;45
"120010 Brasiléia";2;-;-;7;1;-;40;51;13;52;93;86;114;459
"120013 Bujari";2;-;-;-;-;-;1;13;-;17;52;45;43;173
"120017 Capixaba";-;-;-;-;-;34;54;55;27;1;54;25;40;290
"120020 Cruzeiro do Sul";23;152;369;395;333;266;1229;1161;427;1104;705;782;7062;14008
"120025 Epitaciolândia";9;-;-;9;-;1;10;-;5;5;322;15;32;408
"120030 Feijó";5;2;-;2;-;4;4;1;7;4;32;9;87;157
"120032 Jordão";-;-;-;-;-;-;1;1;-;-;1;3;5;11
"120033 Mâncio Lima";-;1;6;10;-;12;3;5;5;184;109;155;56;546
"120034 Manoel Urbano";-;-;-;-;-;-;1;2;1;-;5;13;27;49
"120035 Marechal Thaumaturgo";-;3;-;3;5;5;7;4;7;6;20;24;17;101
"120038 Plácido de Castro";2;-;1;1;-;52;26;22;11;14;34;14;63;240
"120080 Porto Acre";-;-;-;-;-;44;8;29;11;26;104;14;36;272
"120039 Porto Walter";-;1;1;-;-;1;5;13;3;14;28;10;10;86
"120040 Rio Branco";2645;2029;2309;2226;2113;3560;4610;7739;6265;3850;15778;4723;5564;63411
"120042 Rodrigues Alves";-;3;4;1;3;4;9;14;18;36;47;39;25;203
"120043 Santa Rosa do Purus";-;-;-;-;-;1;1;-;-;-;6;-;1;9
"120050 Sena Madureira";14;1;2;1;2;4;7;6;4;55;112;15;61;284
"120045 Senador Guiomard";10;11;5;8;8;81;21;26;30;15;55;11;46;327
"120060 Tarauacá";14;-;2;10;4;3;8;-;9;16;43;51;56;216
"120070 Xapuri";2;-;-;14;2;45;1;1;8;2;16;4;15;110
"130002 Alvarães";-;-;-;-;-;-;-;-;4;5;23;22;88;142
"130006 Amaturá";-;-;-;-;-;-;-;-;-;-;3;20;1;24
"130008 Anamã";-;-;-;-;-;1;2;4;2;1;7;12;32;61
"130010 Anori";-;-;-;-;-;-;-;3;-;3;8;7;3;24
"130014 Apuí";-;1;-;-;-;2;6;83;-;30;78;59;68;327
"130020 Atalaia do Norte";-;-;-;-;-;-;40;6;3;1;1480;860;11712;14102
"130030 Autazes";-;-;240;-;537;38;40;64;49;17;1095;1565;1881;5526
"130040 Barcelos";-;-;-;3;-;20;4;-;-;-;7;18;8;60
"130050 Barreirinha";-;-;-;-;-;-;-;-;-;4;913;383;8;1308
"130060 Benjamin Constant";-;-;-;-;-;-;-;-;3;1;26;223;4;257
"130063 Beruri";-;-;-;-;-;-;-;3;4;-;8;9;4;28
"130068 Boa Vista do Ramos";1;-;2;-;-;-;-;-;-;3;1215;9;579;1809
"130070 Boca do Acre";-;-;-;-;-;2;2;3;6;12;44;18;32;119
"130080 Borba";-;-;-;-;57;55;20;54;2;-;2011;8268;4181;14648
"130083 Caapiranga";-;-;-;-;-;-;1;1;2;-;1440;984;678;3106
"130090 Canutama";-;-;-;-;-;-;-;1;-;4;13;21;40;79
"130100 Carauari";-;-;-;-;-;-;3;1;1;5;8;80;15;113
"130110 Careiro";-;-;-;-;-;1;-;6;12;7;1889;1091;1852;4858
"130115 Careiro da Várzea";-;-;-;-;-;-;1;-;14;14;12;72;22;135
"130120 Coari";-;-;-;-;1423;379;-;253;173;7;20;73;1133;3461
"130130 Codajás";-;-;-;-;-;-;-;-;-;8;963;275;52;1298
"130140 Eirunepé";-;-;-;-;-;-;-;-;7;62;529;1290;1412;3300
"130150 Envira";-;-;-;-;-;-;-;-;1;-;3;1;7;12
"130160 Fonte Boa";-;-;-;-;-;-;-;-;11;23;17;19;7;77
"130165 Guajará";-;-;6;1;3;1;1;5;5;268;235;180;5422;6127
"130170 Humaitá";-;2;15;1;45;60;160;36;261;343;288;327;195;1733
"130180 Ipixuna";-;-;-;-;-;1;1;1;2;18;5;14;32;74
"130185 Iranduba";-;-;-;-;458;26;30;217;39;24;125;285;137;1341
"130190 Itacoatiara";-;-;-;-;-;7;-;16;144;90;733;1138;652;2780
"130195 Itamarati";-;-;-;-;-;-;-;-;-;4;2;12;3;21
"130200 Itapiranga";-;-;-;-;12;-;1;1;-;-;10;9;603;636
"130210 Japurá";-;-;-;-;-;-;-;-;-;1;1;11;21;34
"130220 Juruá";-;-;-;-;-;-;-;1;1;6;6;10;7;31
"130230 Jutaí";-;-;-;-;-;-;-;-;1;-;4;23;5;33
"130240 Lábrea";-;-;12;-;-;4;-;36;46;10;51;60;77;296
"130250 Manacapuru";1;-;1;1;-;105;265;281;268;109;542;864;799;3236
"130255 Manaquiri";-;-;-;-;-;-;11;3;1;207;17;131;188;558
"130260 Manaus";1524;1589;2283;5334;2245;5615;5338;42380;41186;39750;71838;108063;34230;361375
"130270 Manicoré";-;-;-;22;447;-;-;77;7;72;30;69;32;756
"130280 Maraã";-;-;-;-;-;-;-;-;1;6;5;30;53;95
"130290 Maués";2;-;-;-;12;34;40;4;10;32;74;227;345;780
"130300 Nhamundá";-;-;-;-;-;-;1;1;14;2;1433;2020;1121;4592
"130310 Nova Olinda do Norte";40;45;44;12;12;93;78;1;93;318;1677;59;1415;3887
"130320 Novo Airão";1;2;-;-;-;-;6;3;3;25;116;31;18;205
"130330 Novo Aripuanã";7;-;-;-;-;-;-;-;-;1;1;20;13;42
"130340 Parintins";16823;17248;2306;2307;2313;435;2;228;298;303;112;539;251;43165
"130350 Pauini";12;-;-;-;-;-;-;-;-;2;3;8;-;25
"130353 Presidente Figueiredo";4;-;9;-;-;-;1;13;11;31;101;214;44;428
"130356 Rio Preto da Eva";-;-;-;497;315;40;6;16;21;88;6205;1166;1305;9659
"130360 Santa Isabel do Rio Negro";-;-;-;-;-;-;-;-;-;-;433;7;3;443
"130370 Santo Antônio do Içá";-;-;-;-;-;-;-;4;-;-;2;1228;1458;2692
"130380 São Gabriel da Cachoeira";-;20;81;31;-;-;3;17;3;18;8;66;24;271
"130390 São Paulo de Olivença";-;-;-;-;-;-;4;6;1;3;7;13;12;46
"130395 São Sebastião do Uatumã";-;-;-;-;-;-;-;-;2;3;19;13;3;40
"130400 Silves";-;-;-;-;-;24;-;-;3;-;98;6;731;862
"130406 Tabatinga";-;-;-;-;-;-;7;1;81;5;589;147;10;840
"130410 Tapauá";-;-;-;-;-;-;-;1;1;-;4;25;145;176
"130420 Tefé";72;-;698;368;345;36;16;195;186;196;8712;4728;4838;20390
"130423 Tonantins";-;-;-;-;-;-;-;-;1;1;9;14;2;27
"130426 Uarini";-;-;-;-;-;-;-;-;-;3;3;6;19;31
"130430 Urucará";-;-;-;-;-;-;-;1;6;15;888;833;970;2713
"130440 Urucurituba";-;-;-;-;-;-;-;-;23;4;1;35;13;76
"130000 Município ignorado - AM";-;-;-;33;3;-;-;-;-;-;1;1;-;38
"140005 Alto Alegre";-;-;-;-;13;-;2;49;74;101;133;124;73;569
"140002 Amajari";-;-;-;-;15;-;-;-;-;1;4;12;-;32
"140010 Boa Vista";288;49;113;240;211;209;246;326;503;4319;1260;2770;1335;11869
"140015 Bonfim";-;-;-;-;1;42;91;29;156;376;106;12;224;1037
"140017 Cantá";-;-;-;2;-;9;-;-;-;58;117;175;53;414
"140020 Caracaraí";-;-;-;-;17;54;54;32;136;67;93;109;42;604
"140023 Caroebe";-;-;-;-;-;-;23;17;10;41;7;8;95;201
"140028 Iracema";-;-;2;-;1;1;19;-;1;8;-;2;-;34
"140030 Mucajaí";-;-;-;-;-;-;1;-;-;17;77;81;28;204
"140040 Normandia";-;-;-;-;-;-;-;-;-;-;-;-;2;2
"140045 Pacaraima";-;-;-;-;-;-;173;-;-;16;42;5;77;313
"140047 Rorainópolis";-;-;-;-;-;52;-;123;2;24;257;155;193;806
"140050 São João da Baliza";-;-;-;-;36;-;1;-;1;5;-;11;-;54
"140060 São Luiz";-;-;4;-;-;1;-;-;2;1;-;2;1;11
"140070 Uiramutã";-;-;-;-;-;-;-;-;-;5;-;1;1;7
"150010 Abaetetuba";575;805;31;66;303;339;464;53;18;603;25727;17050;11634;57668
"150013 Abel Figueiredo";-;20;6;-;-;-;30;5;8;4;13;14;7;107
"150020 Acará";15;15;4338;100;56;87;27;19;30;380;380;537;291;6275
"150030 Afuá";-;1;5;5;4;23;1;3;5;6;18;21;6;98
"150034 Água Azul do Norte";21;-;165;906;736;36;54;81;71;260;242;99;127;2798
"150040 Alenquer";24;1738;4575;95;1235;126;280;5;5;144;285;230;204;8946
"150050 Almeirim";6;4;6;6;9;-;12;18;53;44;12;45;101;316
"150060 Altamira";1713;3572;3411;2821;3490;1180;937;527;90;5759;5421;12338;8174;49433
"150070 Anajás";-;-;1;15;3;4;9;2;1;2;25;17;4;83
"150080 Ananindeua";1435;1245;3326;4106;8100;4580;5447;5659;5596;20303;31784;74778;41216;207575
"150085 Anapu";6;14;-;15;-;-;-;-;5;2;5;10;54;111
