CNES - Recursos Humanos - Ocupações - segundo CBO 1994 - Brasil
Total por Município e Ano/mês compet.
Médicos: 06105-Em geral (clínico geral)
Período:Dez/2005, Dez/2006
"Município";"2005/Dez";"2006/Dez"
"110001 Alta Floresta D'Oeste";11;12
"110037 Alto Alegre dos Parecis";2;2
"110040 Alto Paraíso";-;2
"110034 Alvorada D'Oeste";6;7
"110002 Ariquemes";13;17
"110045 Buritis";1;1
"110003 Cabixi";5;2
"110060 Cacaulândia";2;2
"110004 Cacoal";12;15
"110070 Campo Novo de Rondônia";1;1
"110080 Candeias do Jamari";3;3
"110090 Castanheiras";1;1
"110005 Cerejeiras";6;1
"110092 Chupinguaia";3;3
"110006 Colorado do Oeste";18;13
"110007 Corumbiara";2;2
"110008 Costa Marques";1;1
"110094 Cujubim";1;1
"110009 Espigão D'Oeste";5;2
"110100 Governador Jorge Teixeira";5;5
"110010 Guajará-Mirim";30;29
"110110 Itapuã do Oeste";1;1
"110011 Jaru";19;25
"110012 Ji-Paraná";33;26
"110013 Machadinho D'Oeste";3;4
"110120 Ministro Andreazza";2;2
"110130 Mirante da Serra";7;3
"110140 Monte Negro";8;6
"110014 Nova Brasilândia D'Oeste";7;1
"110033 Nova Mamoré";9;8
"110143 Nova União";-;1
"110050 Novo Horizonte do Oeste";5;3
"110015 Ouro Preto do Oeste";10;10
"110145 Parecis";2;1
"110018 Pimenta Bueno";8;7
"110146 Pimenteiras do Oeste";2;1
"110020 Porto Velho";77;77
"110025 Presidente Médici";7;3
"110147 Primavera de Rondônia";2;1
"110026 Rio Crespo";1;1
"110028 Rolim de Moura";11;11
"110148 São Felipe D'Oeste";-;2
"110149 São Francisco do Guaporé";2;1
"110032 São Miguel do Guaporé";2;4
"110150 Seringueiras";3;3
"110155 Teixeirópolis";2;1
"110170 Urupá";4;4
"110175 Vale do Anari";4;1
"110180 Vale do Paraíso";1;1
"110030 Vilhena";15;18
"120001 Acrelândia";1;1
"120005 Assis Brasil";2;1
"120010 Brasiléia";8;6
"120013 Bujari";4;3
"120017 Capixaba";2;2
"120020 Cruzeiro do Sul";19;18
"120025 Epitaciolândia";1;1
"120030 Feijó";5;4
"120033 Mâncio Lima";2;3
"120034 Manoel Urbano";1;1
"120035 Marechal Thaumaturgo";1;2
"120038 Plácido de Castro";7;7
"120039 Porto Walter";1;-
"120040 Rio Branco";107;126
"120042 Rodrigues Alves";1;1
"120043 Santa Rosa do Purus";-;2
"120050 Sena Madureira";8;8
"120045 Senador Guiomard";2;4
"120060 Tarauacá";8;5
"120070 Xapuri";3;4
"130002 Alvarães";1;1
"130006 Amaturá";1;-
"130008 Anamã";1;1
"130010 Anori";2;1
"130014 Apuí";4;5
"130020 Atalaia do Norte";2;1
"130030 Autazes";1;1
"130040 Barcelos";2;1
"130050 Barreirinha";4;5
"130060 Benjamin Constant";1;4
"130063 Beruri";2;2
