CNES - Recursos Humanos - Ocupações - segundo CBO 2002 - Brasil
Total por Município e Ano/mês compet.
Profissionais selecionados: .. Clínico Geral
Período:Dez/2007, Dez/2008, Dez/2009, Dez/2010, Dez/2011, Dez/2012, Dez/2013, Dez/2014, Nov/2015, Dez/2016, Dez/2017, Dez/2018, Dez/2019, Dez/2020
"Município";"2007/Dez";"2008/Dez";"2009/Dez";"2010/Dez";"2011/Dez";"2012/Dez";"2013/Dez";"2014/Dez";"2015/Nov";"2016/Dez";"2017/Dez";"2018/Dez";"2019/Dez";"2020/Dez"
"110001 Alta Floresta D'Oeste";12;13;12;12;9;9;9;12;12;17;18;13;12;15
"110037 Alto Alegre dos Parecis";2;2;6;6;4;5;5;4;4;4;3;5;3;4
"110040 Alto Paraíso";3;4;11;7;8;5;5;4;6;8;6;6;8;10
"110034 Alvorada D'Oeste";4;2;6;7;9;8;7;5;5;4;9;8;2;3
"110002 Ariquemes";32;41;51;58;51;70;51;72;78;108;101;85;127;138
"110045 Buritis";1;2;3;3;2;10;18;22;19;23;22;19;21;24
"110003 Cabixi";2;2;2;2;2;7;5;5;4;5;6;5;5;5
"110060 Cacaulândia";2;3;3;5;8;8;8;7;7;6;4;4;4;3
"110004 Cacoal";32;51;60;84;71;121;109;109;86;108;116;140;125;164
"110070 Campo Novo de Rondônia";1;1;1;1;5;6;5;8;4;6;7;4;5;7
"110080 Candeias do Jamari";1;4;4;4;4;4;4;3;3;5;10;10;8;11
"110090 Castanheiras";2;3;2;2;3;3;1;2;4;4;2;7;8;7
"110005 Cerejeiras";6;8;6;8;8;6;7;8;9;11;11;10;11;11
"110092 Chupinguaia";6;6;1;8;6;3;2;4;4;5;5;6;8;8
"110006 Colorado do Oeste";10;9;19;12;14;9;13;13;12;14;22;11;11;11
"110007 Corumbiara";1;1;1;2;2;2;2;4;4;2;2;3;3;3
"110008 Costa Marques";3;2;3;3;4;3;2;4;3;5;5;5;5;6
"110094 Cujubim";1;1;1;2;4;4;1;4;3;3;7;6;3;9
"110009 Espigão D'Oeste";8;12;15;12;15;13;14;15;17;21;18;16;23;19
"110100 Governador Jorge Teixeira";2;3;4;4;8;6;4;5;4;5;4;3;2;2
"110010 Guajará-Mirim";24;16;23;18;26;23;24;28;14;16;22;21;36;50
"110110 Itapuã do Oeste";1;1;1;3;1;3;2;4;4;3;7;6;5;4
"110011 Jaru";23;22;24;27;20;24;18;16;17;23;22;30;35;40
"110012 Ji-Paraná";42;36;34;33;33;47;70;82;106;116;131;140;162;174
"110013 Machadinho D'Oeste";5;5;4;6;3;7;5;6;10;8;9;8;6;9
"110120 Ministro Andreazza";5;5;4;3;4;4;4;3;3;5;6;5;5;8
"110130 Mirante da Serra";3;4;6;8;7;5;7;6;3;3;6;3;4;12
"110140 Monte Negro";3;3;3;5;6;6;6;7;4;7;7;7;3;14
"110014 Nova Brasilândia D'Oeste";4;6;8;8;4;3;3;4;5;6;6;6;6;8
"110033 Nova Mamoré";10;10;10;14;13;14;12;13;14;14;15;12;11;11
"110143 Nova União";2;1;2;4;4;4;4;5;3;2;3;5;5;3
"110050 Novo Horizonte do Oeste";7;5;5;6;5;5;4;5;3;3;6;4;2;6
"110015 Ouro Preto do Oeste";12;18;26;26;19;34;28;29;32;30;20;20;27;43
"110145 Parecis";-;-;1;1;1;3;3;3;3;3;4;2;5;4
"110018 Pimenta Bueno";14;15;25;16;14;15;22;25;23;24;22;27;28;31
"110146 Pimenteiras do Oeste";1;1;1;1;1;1;1;2;3;3;1;1;1;2
"110020 Porto Velho";155;215;259;259;280;398;503;550;558;550;574;573;561;839
"110025 Presidente Médici";8;11;9;10;10;10;9;13;11;19;15;17;9;13
"110147 Primavera de Rondônia";1;1;1;-;2;1;1;-;-;-;1;-;-;1
"110026 Rio Crespo";1;2;2;2;3;2;3;5;5;4;5;3;4;4
"110028 Rolim de Moura";22;23;28;23;23;21;26;31;33;28;29;33;29;27
"110029 Santa Luzia D'Oeste";2;2;2;2;2;5;4;5;4;7;6;7;8;9
"110148 São Felipe D'Oeste";1;1;1;1;1;4;5;4;5;3;5;2;1;4
"110149 São Francisco do Guaporé";1;1;5;5;6;6;10;15;11;14;13;18;18;17
"110032 São Miguel do Guaporé";6;7;9;11;13;15;19;20;15;20;15;19;15;17
"110150 Seringueiras";3;2;4;4;4;5;6;6;6;6;6;6;4;4
"110155 Teixeirópolis";-;1;1;1;3;3;3;3;4;3;3;-;3;3
"110160 Theobroma";-;1;1;7;3;4;4;8;5;5;7;5;6;9
"110170 Urupá";2;2;1;1;6;6;7;10;5;5;6;4;6;6
"110175 Vale do Anari";3;4;3;3;4;4;3;4;4;5;3;4;3;4
"110180 Vale do Paraíso";2;2;2;5;5;4;7;6;5;5;5;6;5;6
"110030 Vilhena";25;23;28;24;25;24;29;41;44;55;67;58;71;70
"120001 Acrelândia";1;3;2;5;5;5;7;6;5;4;4;5;4;4
"120005 Assis Brasil";1;2;2;3;3;3;2;2;3;4;4;4;4;7
"120010 Brasiléia";10;17;14;15;15;15;17;16;17;16;17;17;25;28
"120013 Bujari";3;3;3;2;1;1;2;1;1;1;1;-;-;2
"120017 Capixaba";2;2;2;1;1;1;1;2;1;-;-;1;2;-
"120020 Cruzeiro do Sul";39;52;70;75;70;83;79;90;69;70;71;60;66;88
"120025 Epitaciolândia";1;3;2;1;1;1;1;3;2;1;2;1;-;1
"120030 Feijó";5;6;9;5;5;6;8;7;5;6;6;5;7;8
"120032 Jordão";2;2;3;3;1;2;2;2;2;3;4;2;1;2
"120033 Mâncio Lima";1;4;4;3;5;5;7;4;5;5;6;7;7;8
"120034 Manoel Urbano";1;2;3;3;2;10;4;4;2;2;3;3;6;8
"120035 Marechal Thaumaturgo";1;1;1;1;1;1;1;2;1;3;3;2;5;7
"120038 Plácido de Castro";4;8;9;11;6;9;10;9;10;8;9;8;8;9
"120080 Porto Acre";-;-;-;-;-;1;-;1;-;1;1;1;1;2
"120039 Porto Walter";1;1;2;1;1;1;1;2;2;3;3;3;3;5
"120040 Rio Branco";256;344;402;457;467;435;447;483;499;494;518;503;533;573
"120042 Rodrigues Alves";1;2;5;6;4;3;4;5;4;5;5;5;4;4
"120043 Santa Rosa do Purus";-;1;3;3;2;4;2;3;4;3;5;2;4;4
"120050 Sena Madureira";10;9;8;8;7;13;12;11;10;11;14;12;14;18
"120045 Senador Guiomard";3;7;7;10;10;6;8;9;7;7;9;9;9;8
"120060 Tarauacá";9;19;15;9;10;10;10;10;15;15;13;19;19;22
"120070 Xapuri";4;4;7;8;7;6;6;6;3;3;3;4;6;5
"130002 Alvarães";1;1;1;2;2;3;3;4;2;2;3;3;3;4
"130006 Amaturá";1;1;1;-;2;3;2;6;5;5;3;4;7;10
"130008 Anamã";2;2;2;1;1;1;2;3;4;3;1;3;3;4
"130010 Anori";1;1;2;1;1;1;1;1;1;1;9;9;7;10
"130014 Apuí";3;4;5;2;5;4;4;6;5;5;5;5;8;10
"130020 Atalaia do Norte";-;1;1;1;1;3;2;2;5;9;4;6;3;5
"130030 Autazes";4;1;-;2;1;1;3;3;3;6;3;3;8;18
"130040 Barcelos";1;2;4;2;2;2;4;3;2;2;2;1;8;10
"130050 Barreirinha";7;3;3;4;3;5;8;4;2;8;8;2;6;10
"130060 Benjamin Constant";2;11;4;2;6;5;7;9;7;13;10;9;10;11
"130063 Beruri";1;1;1;3;4;3;1;3;3;4;4;5;4;6
"130068 Boa Vista do Ramos";1;1;4;4;3;3;2;2;2;3;4;1;2;1
"130070 Boca do Acre";4;4;4;4;5;5;4;5;6;6;7;9;13;14
"130080 Borba";4;4;3;3;2;3;4;3;2;4;5;5;2;5
"130083 Caapiranga";1;1;1;1;1;1;1;2;1;1;1;1;1;3
"130090 Canutama";-;1;1;1;1;1;3;3;3;3;4;2;3;5
"130100 Carauari";4;2;2;2;1;1;3;3;3;3;3;2;2;4
"130110 Careiro";4;3;2;2;2;2;4;4;4;5;4;4;6;5
"130115 Careiro da Várzea";-;-;1;1;1;1;1;1;1;1;1;1;2;4
"130120 Coari";15;12;17;13;8;11;21;16;16;16;9;11;14;19
"130130 Codajás";1;1;1;1;1;3;3;3;3;3;3;5;6;6
"130140 Eirunepé";1;1;2;4;1;2;1;5;5;3;6;2;5;11
"130150 Envira";4;2;2;2;2;4;4;5;4;6;6;4;5;5
"130160 Fonte Boa";-;-;-;-;-;-;-;-;3;3;4;1;1;1
"130165 Guajará";3;4;4;4;4;4;4;4;4;4;3;5;7;5
"130170 Humaitá";3;6;6;5;8;9;8;12;9;15;14;22;31;28
"130180 Ipixuna";1;1;2;2;2;2;2;2;2;2;2;2;2;2
"130185 Iranduba";1;9;10;8;8;8;7;9;7;5;7;10;8;9
"130190 Itacoatiara";18;21;22;26;16;17;14;21;29;27;25;47;38;53
"130195 Itamarati";1;1;1;2;2;1;1;1;1;-;-;-;-;-
"130200 Itapiranga";1;4;1;1;1;1;2;1;1;1;1;4;2;6
"130210 Japurá";1;1;1;1;2;2;1;1;1;2;1;2;2;1
"130220 Juruá";2;2;2;1;1;1;1;2;3;3;2;1;1;1
"130230 Jutaí";1;2;2;-;1;1;1;1;1;1;1;2;2;3
"130240 Lábrea";4;3;4;4;3;8;7;5;9;7;13;9;20;23
"130250 Manacapuru";12;12;11;11;20;19;19;26;28;16;5;10;15;14
"130255 Manaquiri";1;3;5;5;5;6;5;6;7;7;7;5;6;7
