CNES - Recursos Humanos - Profissionais - Indivíduos - segundo CBO 1994 - Brasil
Quantidade por Município e Ano/mês compet.
Médicos: 06141-De saúde da família
Período:Dez/2005, Dez/2006
"Município";"2005/Dez";"2006/Dez"
"110037 Alto Alegre dos Parecis";1;1
"110040 Alto Paraíso";1;1
"110034 Alvorada D'Oeste";-;1
"110002 Ariquemes";8;7
"110045 Buritis";1;2
"110003 Cabixi";-;1
"110060 Cacaulândia";1;1
"110004 Cacoal";1;3
"110080 Candeias do Jamari";1;1
"110005 Cerejeiras";1;3
"110006 Colorado do Oeste";-;2
"110007 Corumbiara";1;1
"110008 Costa Marques";-;1
"110094 Cujubim";1;1
"110009 Espigão D'Oeste";-;1
"110010 Guajará-Mirim";1;-
"110011 Jaru";2;3
"110012 Ji-Paraná";6;6
"110013 Machadinho D'Oeste";-;4
"110120 Ministro Andreazza";1;1
"110130 Mirante da Serra";-;1
"110140 Monte Negro";1;2
"110014 Nova Brasilândia D'Oeste";-;2
"110050 Novo Horizonte do Oeste";1;2
"110015 Ouro Preto do Oeste";-;2
"110018 Pimenta Bueno";4;7
"110020 Porto Velho";14;28
"110025 Presidente Médici";1;2
"110147 Primavera de Rondônia";-;2
"110026 Rio Crespo";1;1
"110028 Rolim de Moura";3;3
"110029 Santa Luzia D'Oeste";1;1
"110148 São Felipe D'Oeste";1;-
"110149 São Francisco do Guaporé";1;-
"110032 São Miguel do Guaporé";1;1
"110160 Theobroma";2;2
"110170 Urupá";1;1
"110180 Vale do Paraíso";-;1
"110030 Vilhena";4;5
"120001 Acrelândia";5;4
"120005 Assis Brasil";1;-
"120010 Brasiléia";3;4
"120017 Capixaba";-;1
"120020 Cruzeiro do Sul";11;11
"120025 Epitaciolândia";5;4
"120030 Feijó";1;1
"120033 Mâncio Lima";1;1
"120034 Manoel Urbano";1;2
"120035 Marechal Thaumaturgo";3;3
"120038 Plácido de Castro";3;3
"120080 Porto Acre";5;5
"120039 Porto Walter";-;1
"120040 Rio Branco";28;31
"120043 Santa Rosa do Purus";-;1
"120050 Sena Madureira";2;2
"120045 Senador Guiomard";3;3
"120060 Tarauacá";1;6
"120070 Xapuri";1;2
"130002 Alvarães";1;1
"130010 Anori";1;1
"130014 Apuí";3;2
"130030 Autazes";5;6
"130040 Barcelos";1;1
"130068 Boa Vista do Ramos";-;1
"130070 Boca do Acre";2;4
"130080 Borba";6;4
"130083 Caapiranga";4;4
"130110 Careiro";1;1
"130115 Careiro da Várzea";-;1
"130120 Coari";13;10
"130130 Codajás";-;1
"130140 Eirunepé";2;4
"130160 Fonte Boa";6;6
"130170 Humaitá";6;6
"130185 Iranduba";1;6
"130190 Itacoatiara";1;10
"130230 Jutaí";-;2
"130240 Lábrea";-;7
"130250 Manacapuru";1;4
"130260 Manaus";130;147
"130270 Manicoré";7;2
"130280 Maraã";1;2
"130290 Maués";5;6
"130300 Nhamundá";1;2
"130310 Nova Olinda do Norte";-;4
"130320 Novo Airão";-;1
"130330 Novo Aripuanã";-;4
"130340 Parintins";2;6
"130350 Pauini";1;2
"130353 Presidente Figueiredo";5;6
"130356 Rio Preto da Eva";3;4
"130360 Santa Isabel do Rio Negro";-;1
"130380 São Gabriel da Cachoeira";4;3
"130395 São Sebastião do Uatumã";1;1
"130400 Silves";2;1
"130406 Tabatinga";4;3
"130410 Tapauá";5;6
"130420 Tefé";6;8
"130430 Urucará";-;2
"130440 Urucurituba";4;4
"140005 Alto Alegre";2;2
"140010 Boa Vista";24;28
"140015 Bonfim";-;1
"140020 Caracaraí";5;-
"140030 Mucajaí";3;3
"140045 Pacaraima";1;1
"140050 São João da Baliza";-;1
"140060 São Luiz";2;-
"150010 Abaetetuba";3;4
"150020 Acará";1;1
"150034 Água Azul do Norte";-;2
"150040 Alenquer";1;1
"150050 Almeirim";3;3
"150060 Altamira";9;8
"150080 Ananindeua";15;33
"150090 Augusto Corrêa";4;3
"150095 Aurora do Pará";3;3
"150130 Barcarena";1;6
"150140 Belém";18;30
"150145 Belterra";2;-
"150150 Benevides";14;11
"150157 Bom Jesus do Tocantins";-;2
"150160 Bonito";2;2
"150170 Bragança";1;-
"150172 Brasil Novo";-;1
"150175 Brejo Grande do Araguaia";-;1
"150178 Breu Branco";1;1
"150180 Breves";4;4
"150190 Bujaru";1;1
"150195 Cachoeira do Piriá";2;1
"150210 Cametá";4;5
"150215 Canaã dos Carajás";-;2
"150220 Capanema";3;6
"150230 Capitão Poço";-;2
"150240 Castanhal";19;25
"150260 Colares";1;1
"150270 Conceição do Araguaia";2;1
"150290 Curuçá";2;2
"150293 Dom Eliseu";-;3
"150295 Eldorado do Carajás";1;2
"150309 Goianésia do Pará";1;1
"150320 Igarapé-Açu";2;-
"150330 Igarapé-Miri";6;4
"150345 Ipixuna do Pará";4;2
"150360 Itaituba";2;2
"150380 Jacundá";4;4
"150390 Juruti";-;2
"150400 Limoeiro do Ajuru";-;1
"150405 Mãe do Rio";4;4
"150410 Magalhães Barata";-;1
"150420 Marabá";1;1
"150430 Maracanã";3;4
"150440 Marapanim";1;1
"150442 Marituba";6;6
"150450 Melgaço";-;2
"150460 Mocajuba";1;1
"150470 Moju";3;2
"150480 Monte Alegre";2;1
"150490 Muaná";1;2
"150497 Nova Ipixuna";-;1
"150500 Nova Timboteua";-;1
"150530 Oriximiná";-;1
"150540 Ourém";3;3
"150550 Paragominas";7;6
"150553 Parauapebas";-;1
"150560 Peixe-Boi";1;1
"150580 Portel";3;2
"150590 Porto de Moz";1;1
"150610 Primavera";2;1
"150611 Quatipuru";1;1
"150613 Redenção";3;2
"150616 Rio Maria";-;1
"150618 Rondon do Pará";4;-
"150619 Rurópolis";-;1
"150620 Salinópolis";2;1
"150630 Salvaterra";-;1
"150635 Santa Bárbara do Pará";1;1
"150650 Santa Izabel do Pará";3;3
"150655 Santa Luzia do Pará";3;3
"150660 Santa Maria do Pará";2;3
"150670 Santana do Araguaia";2;3
"150680 Santarém";16;23
"150690 Santarém Novo";1;1
"150700 Santo Antônio do Tauá";1;3
"150715 São Domingos do Araguaia";1;3
"150720 São Domingos do Capim";6;5
"150730 São Félix do Xingu";1;1
"150740 São Francisco do Pará";-;1
"150745 São Geraldo do Araguaia";1;4
"150747 São João de Pirabas";1;1
"150750 São João do Araguaia";1;1
"150760 São Miguel do Guamá";3;4
"150780 Senador José Porfírio";-;1
"150796 Terra Alta";3;3
"150803 Tracuateua";3;2
"150805 Trairão";1;1
"150810 Tucuruí";6;5
"150812 Ulianópolis";2;2
"150815 Uruará";1;-
"150820 Vigia";4;4
"150830 Viseu";2;1
"160027 Laranjal do Jari";2;4
"160030 Macapá";12;19
"160040 Mazagão";-;1
"160015 Pedra Branca do Amapari";-;1
"160053 Porto Grande";1;1
"160060 Santana";8;4
"170025 Abreulândia";1;1
"170030 Aguiarnópolis";2;1
"170035 Aliança do Tocantins";-;2
"170040 Almas";1;-
"170070 Alvorada";2;-
"170100 Ananás";3;4
"170105 Angico";1;1
"170110 Aparecida do Rio Negro";1;1
"170130 Aragominas";2;2
"170190 Araguacema";1;2
"170200 Araguaçu";3;3
"170210 Araguaína";13;13
"170215 Araguanã";1;1
"170220 Araguatins";1;2
"170230 Arapoema";-;1
"170240 Arraias";1;2
"170255 Augustinópolis";2;3
"170270 Aurora do Tocantins";1;-
"170290 Axixá do Tocantins";1;2
"170300 Babaçulândia";3;2
"170305 Bandeirantes do Tocantins";1;1
"170307 Barra do Ouro";1;1
"170310 Barrolândia";1;1
"170320 Bernardo Sayão";1;1
"170360 Brasilândia do Tocantins";1;1
"170370 Brejinho de Nazaré";2;1
"170380 Buriti do Tocantins";2;2
"170382 Cachoeirinha";1;1
"170384 Campos Lindos";1;1
"170388 Carmolândia";1;-
"170389 Carrasco Bonito";1;1
"170390 Caseara";-;1
"170410 Centenário";1;1
"170510 Chapada da Natividade";1;1
"170460 Chapada de Areia";1;1
"170550 Colinas do Tocantins";6;7
"171670 Colméia";1;2
"170555 Combinado";1;1
"170560 Conceição do Tocantins";1;1
"170600 Couto Magalhães";1;1
"170610 Cristalândia";1;1
"170625 Crixás do Tocantins";1;1
"170700 Dianópolis";6;3
"170710 Divinópolis do Tocantins";1;3
"170720 Dois Irmãos do Tocantins";3;2
"170730 Dueré";-;1
"170740 Esperantina";2;2
"170755 Fátima";1;1
"170765 Figueirópolis";1;2
"170770 Filadélfia";4;1
"170820 Formoso do Araguaia";4;5
"170825 Fortaleza do Tabocão";1;1
"170830 Goianorte";1;1
"170900 Goiatins";1;1
"170930 Guaraí";7;5
"170950 Gurupi";8;14
"171050 Itacajá";1;1
"171070 Itaguatins";1;1
"171090 Itapiratins";1;1
"171110 Itaporã do Tocantins";1;1
"171150 Jaú do Tocantins";1;2
"171180 Juarina";1;1
"171190 Lagoa da Confusão";1;1
"171195 Lagoa do Tocantins";-;1
"171200 Lajeado";2;1
"171215 Lavandeira";2;1
"171240 Lizarda";1;-
"171245 Luzinópolis";1;-
"171250 Marianópolis do Tocantins";1;-
"171270 Mateiros";1;1
"171320 Miracema do Tocantins";2;4
"171330 Miranorte";-;1
"171360 Monte do Carmo";1;-
"171370 Monte Santo do Tocantins";1;1
"171395 Muricilândia";1;1
"171420 Natividade";2;1
"171430 Nazaré";1;2
"171488 Nova Olinda";2;1
"171500 Nova Rosalândia";1;1
"171510 Novo Acordo";-;1
"171515 Novo Alegre";2;1
"172100 Palmas";24;31
"171570 Palmeirante";1;1
"171380 Palmeiras do Tocantins";1;2
"171575 Palmeirópolis";2;3
"171610 Paraíso do Tocantins";6;3
"171620 Paranã";2;2
"171630 Pau D'Arco";2;1
"171660 Peixe";3;4
"171700 Pindorama do Tocantins";1;1
"171720 Piraquê";1;1
"171750 Pium";2;-
"171780 Ponte Alta do Bom Jesus";1;1
"171790 Ponte Alta do Tocantins";1;-
"171800 Porto Alegre do Tocantins";-;1
"171820 Porto Nacional";3;3
"171830 Praia Norte";1;3
"171840 Presidente Kennedy";-;1
"171845 Pugmil";1;-
"171850 Recursolândia";-;1
"171855 Riachinho";1;1
"171865 Rio da Conceição";1;-
"171870 Rio dos Bois";-;1
"171875 Rio Sono";2;1
"171880 Sampaio";1;2
"171884 Sandolândia";3;2
"171886 Santa Fé do Araguaia";-;2
"171888 Santa Maria do Tocantins";1;-
"171889 Santa Rita do Tocantins";-;1
"171890 Santa Rosa do Tocantins";2;1
"171900 Santa Tereza do Tocantins";1;1
"172000 Santa Terezinha do Tocantins";1;1
"172010 São Bento do Tocantins";2;1
"172020 São Miguel do Tocantins";2;2
"172025 São Salvador do Tocantins";1;1
"172030 São Sebastião do Tocantins";2;-
"172049 São Valério";1;3
"172065 Silvanópolis";-;1
"172080 Sítio Novo do Tocantins";1;2
"172090 Taguatinga";4;5
"172093 Taipas do Tocantins";1;1
"172097 Talismã";-;1
"172110 Tocantínia";1;2
"172120 Tocantinópolis";1;1
"172125 Tupirama";-;1
"172130 Tupiratins";2;1
"172208 Wanderlândia";-;1
"172210 Xambioá";1;2
"210005 Açailândia";6;11
"210010 Afonso Cunha";1;1
"210040 Altamira do Maranhão";-;1
"210043 Alto Alegre do Maranhão";2;1
"210047 Alto Alegre do Pindaré";3;7
"210070 Anajatuba";1;2
"210083 Apicum-Açu";2;1
"210087 Araguanã";1;1
"210090 Araioses";3;3
"210100 Arari";-;2
"210110 Axixá";1;2
"210120 Bacabal";8;10
"210125 Bacabeira";3;2
"210140 Balsas";3;5
"210150 Barão de Grajaú";1;1
"210160 Barra do Corda";7;5
"210170 Barreirinhas";-;8
"210173 Belágua";1;1
"210190 Bequimão";1;6
"210200 Bom Jardim";3;3
"210203 Bom Jesus das Selvas";-;1
"210207 Bom Lugar";-;1
"210210 Brejo";2;2
"210215 Brejo de Areia";2;2
"210220 Buriti";-;1
"210230 Buriti Bravo";1;1
"210240 Cajapió";1;1
"210250 Cajari";2;2
"210270 Cantanhede";3;3
"210280 Carolina";-;5
"210290 Carutapera";-;7
